Start,Stop,Midpoint
"(186, 195)","(21, 184)","(107, 186)"
"(63, 198)","(192, 67)","(109, 114)"
"(144, 78)","(195, 11)","(164, 39)"
"(112, 2)","(48, 169)","(80, 85)"
"(165, 203)","(114, 219)","(136, 207)"
"(214, 60)","(19, 123)","(121, 96)"
"(112, 199)","(48, 17)","(77, 111)"
"(205, 239)","(143, 210)","(174, 225)"
"(34, 244)","(209, 43)","(98, 120)"
"(149, 42)","(100, 242)","(107, 124)"
"(61, 213)","(36, 67)","(51, 138)"
"(118, 144)","(64, 131)","(94, 135)"
"(135, 30)","(177, 52)","(154, 43)"
"(146, 99)","(240, 207)","(213, 133)"
"(249, 37)","(10, 239)","(106, 114)"
"(168, 74)","(138, 161)","(159, 123)"
"(80, 42)","(137, 235)","(90, 157)"
"(203, 87)","(132, 144)","(160, 108)"
"(211, 254)","(160, 160)","(182, 211)"
"(97, 84)","(219, 167)","(159, 124)"
"(244, 68)","(60, 161)","(133, 95)"
"(139, 5)","(196, 96)","(152, 66)"
"(40, 50)","(226, 51)","(132, 51)"
"(74, 144)","(93, 222)","(78, 188)"
"(6, 11)","(93, 130)","(45, 75)"
"(159, 123)","(111, 96)","(137, 108)"
"(75, 208)","(100, 73)","(76, 129)"
"(254, 77)","(184, 10)","(208, 55)"
"(47, 97)","(135, 62)","(95, 84)"
"(196, 92)","(120, 32)","(153, 67)"
"(18, 82)","(255, 82)","(136, 83)"
"(104, 36)","(222, 74)","(170, 48)"
"(206, 48)","(64, 214)","(111, 107)"
"(153, 117)","(146, 15)","(151, 65)"
"(26, 252)","(91, 177)","(53, 209)"
"(127, 160)","(6, 170)","(63, 161)"
"(39, 253)","(59, 1)","(54, 132)"
"(111, 146)","(95, 180)","(104, 164)"
"(206, 244)","(59, 120)","(147, 168)"
"(38, 217)","(109, 105)","(77, 165)"
"(219, 148)","(133, 248)","(165, 187)"
"(167, 200)","(233, 236)","(198, 220)"
"(59, 61)","(146, 88)","(110, 67)"
"(46, 209)","(231, 167)","(123, 173)"
"(222, 211)","(119, 133)","(162, 181)"
"(100, 26)","(63, 206)","(77, 111)"
"(183, 172)","(88, 87)","(150, 115)"
"(204, 159)","(2, 210)","(96, 177)"
"(138, 164)","(159, 92)","(143, 123)"
"(49, 157)","(248, 10)","(147, 82)"
"(251, 43)","(67, 211)","(127, 95)"
"(249, 6)","(62, 121)","(150, 58)"
"(255, 81)","(254, 203)","(254, 141)"
"(116, 77)","(31, 27)","(84, 42)"
"(120, 144)","(252, 211)","(175, 188)"
"(148, 64)","(165, 75)","(154, 72)"
"(206, 126)","(143, 61)","(170, 98)"
"(194, 116)","(3, 170)","(96, 140)"
"(89, 153)","(72, 222)","(74, 181)"
"(235, 168)","(15, 181)","(124, 173)"
"(151, 193)","(213, 6)","(158, 76)"
"(225, 226)","(205, 199)","(219, 209)"
"(166, 168)","(101, 4)","(151, 69)"
"(166, 152)","(20, 105)","(94, 128)"
"(136, 222)","(120, 95)","(130, 157)"
"(251, 209)","(245, 142)","(245, 179)"
"(202, 106)","(165, 198)","(194, 162)"
"(182, 47)","(172, 238)","(176, 141)"
"(110, 129)","(102, 47)","(103, 91)"
"(197, 177)","(100, 151)","(146, 167)"
"(206, 154)","(140, 115)","(177, 131)"
"(65, 51)","(28, 252)","(38, 143)"
"(195, 42)","(115, 35)","(153, 41)"
"(228, 13)","(90, 206)","(136, 86)"
"(244, 242)","(29, 4)","(104, 156)"
"(79, 70)","(26, 180)","(39, 111)"
"(43, 70)","(88, 21)","(65, 45)"
"(10, 187)","(234, 60)","(111, 113)"
"(156, 150)","(11, 35)","(84, 92)"
"(136, 221)","(225, 179)","(167, 187)"
"(21, 122)","(25, 42)","(25, 84)"
"(196, 205)","(150, 2)","(161, 116)"
"(105, 179)","(140, 81)","(110, 118)"
"(89, 222)","(161, 38)","(111, 116)"
"(188, 237)","(172, 136)","(179, 188)"
"(246, 145)","(48, 187)","(151, 170)"
"(40, 52)","(68, 253)","(57, 150)"
"(107, 131)","(17, 193)","(54, 154)"
"(160, 193)","(122, 90)","(137, 146)"
"(151, 143)","(218, 242)","(179, 198)"
"(146, 214)","(158, 105)","(155, 163)"
"(42, 59)","(76, 157)","(70, 97)"
"(57, 129)","(127, 155)","(95, 139)"
"(198, 172)","(237, 159)","(221, 169)"
"(80, 126)","(8, 206)","(35, 157)"
"(55, 183)","(143, 69)","(97, 124)"
"(140, 46)","(77, 56)","(110, 52)"
"(225, 39)","(217, 51)","(220, 44)"
"(224, 245)","(140, 131)","(176, 194)"
"(127, 78)","(153, 142)","(133, 117)"
"(7, 163)","(72, 114)","(34, 133)"
"(35, 216)","(56, 69)","(39, 136)"
"(79, 78)","(192, 249)","(133, 166)"
"(224, 108)","(197, 38)","(221, 63)"
"(243, 53)","(91, 9)","(156, 42)"
"(6, 47)","(8, 241)","(10, 143)"
"(174, 130)","(4, 232)","(99, 191)"
"(169, 225)","(18, 251)","(90, 234)"
"(4, 48)","(255, 42)","(131, 46)"
"(15, 71)","(125, 235)","(83, 140)"
"(169, 4)","(13, 115)","(105, 73)"
"(152, 154)","(187, 158)","(170, 155)"
"(169, 181)","(151, 22)","(160, 102)"
"(92, 158)","(121, 96)","(108, 129)"
"(45, 106)","(142, 166)","(91, 138)"
"(76, 167)","(225, 237)","(148, 204)"
"(211, 123)","(52, 104)","(134, 111)"
"(54, 139)","(81, 47)","(70, 96)"
"(229, 146)","(92, 9)","(155, 83)"
"(243, 254)","(122, 93)","(170, 186)"
"(175, 58)","(74, 184)","(111, 107)"
"(78, 57)","(187, 161)","(130, 111)"
"(7, 5)","(211, 202)","(84, 128)"
"(211, 241)","(94, 99)","(148, 175)"
"(109, 32)","(237, 183)","(181, 99)"
"(150, 255)","(96, 139)","(140, 180)"
"(88, 120)","(21, 211)","(69, 180)"
"(244, 110)","(164, 179)","(209, 149)"
"(255, 42)","(148, 161)","(209, 109)"
"(254, 88)","(205, 68)","(228, 80)"
"(143, 16)","(85, 131)","(114, 73)"
"(0, 146)","(169, 28)","(87, 90)"
"(213, 195)","(126, 141)","(157, 181)"
"(228, 75)","(240, 22)","(232, 47)"
"(161, 23)","(185, 77)","(172, 51)"
"(100, 197)","(246, 125)","(182, 170)"
"(249, 198)","(191, 193)","(220, 196)"
"(226, 67)","(131, 77)","(182, 75)"
"(214, 16)","(41, 109)","(130, 65)"
"(188, 199)","(148, 154)","(167, 178)"
"(75, 6)","(196, 140)","(150, 58)"
"(212, 182)","(224, 190)","(219, 185)"
"(86, 198)","(26, 132)","(64, 157)"
"(221, 30)","(20, 112)","(118, 68)"
"(175, 108)","(212, 194)","(199, 145)"
"(110, 167)","(61, 203)","(93, 192)"
"(82, 31)","(179, 179)","(148, 87)"
"(205, 40)","(164, 5)","(195, 12)"
"(77, 220)","(45, 44)","(76, 117)"
"(166, 7)","(14, 185)","(108, 114)"
"(250, 230)","(153, 131)","(187, 195)"
"(157, 231)","(107, 51)","(129, 144)"
"(7, 155)","(8, 171)","(8, 162)"
"(155, 66)","(253, 4)","(196, 27)"
"(24, 193)","(222, 124)","(103, 139)"
"(12, 70)","(25, 164)","(21, 114)"
"(226, 44)","(223, 83)","(223, 62)"
"(157, 183)","(194, 116)","(172, 146)"
"(122, 140)","(25, 179)","(67, 153)"
"(235, 6)","(108, 5)","(172, 5)"
"(55, 8)","(181, 38)","(117, 24)"
"(47, 165)","(37, 177)","(43, 172)"
"(115, 32)","(210, 192)","(175, 99)"
"(204, 125)","(101, 113)","(155, 117)"
"(78, 64)","(109, 6)","(85, 27)"
"(46, 161)","(138, 213)","(98, 181)"
"(67, 184)","(211, 154)","(143, 173)"
"(146, 68)","(155, 205)","(152, 135)"
"(142, 44)","(247, 63)","(200, 48)"
"(94, 226)","(80, 158)","(80, 199)"
"(137, 211)","(22, 8)","(77, 112)"
"(252, 139)","(139, 185)","(199, 165)"
"(180, 63)","(43, 157)","(111, 109)"
"(191, 189)","(105, 188)","(149, 187)"
"(255, 196)","(117, 198)","(187, 198)"
"(21, 44)","(177, 241)","(98, 143)"
"(183, 188)","(242, 185)","(214, 188)"
"(5, 128)","(207, 138)","(110, 129)"
"(182, 97)","(204, 252)","(197, 170)"
"(20, 68)","(158, 187)","(87, 129)"
"(4, 3)","(159, 52)","(85, 24)"
"(196, 220)","(102, 47)","(166, 117)"
"(55, 59)","(176, 188)","(98, 141)"
"(79, 39)","(123, 198)","(83, 136)"
"(17, 78)","(126, 31)","(78, 61)"
"(121, 205)","(85, 209)","(101, 205)"
"(113, 136)","(241, 155)","(177, 145)"
"(199, 178)","(16, 125)","(104, 155)"
"(214, 134)","(172, 147)","(191, 138)"
"(105, 35)","(154, 238)","(124, 142)"
"(157, 74)","(55, 110)","(112, 98)"
"(244, 203)","(38, 140)","(146, 167)"
"(213, 43)","(20, 246)","(97, 125)"
"(26, 14)","(51, 26)","(36, 22)"
"(90, 124)","(36, 54)","(67, 85)"
"(209, 73)","(61, 9)","(135, 41)"
"(125, 72)","(150, 228)","(133, 154)"
"(138, 235)","(211, 41)","(170, 134)"
"(208, 28)","(239, 203)","(223, 116)"
"(79, 142)","(103, 210)","(98, 169)"
"(109, 229)","(245, 64)","(176, 146)"
"(132, 180)","(193, 58)","(172, 129)"
"(9, 33)","(194, 228)","(92, 140)"
"(144, 43)","(123, 232)","(142, 146)"
"(133, 193)","(247, 168)","(188, 179)"
"(9, 106)","(173, 243)","(107, 158)"
"(247, 97)","(65, 237)","(159, 170)"
"(244, 90)","(202, 172)","(209, 117)"
"(221, 21)","(196, 133)","(214, 82)"
"(146, 70)","(5, 195)","(80, 137)"
"(245, 197)","(207, 92)","(228, 143)"
"(186, 19)","(231, 69)","(204, 48)"
"(222, 225)","(238, 194)","(227, 207)"
"(59, 241)","(222, 30)","(112, 107)"
"(111, 26)","(230, 194)","(181, 99)"
"(60, 221)","(195, 162)","(112, 176)"
"(105, 46)","(11, 124)","(52, 79)"
"(106, 182)","(93, 68)","(99, 126)"
"(123, 153)","(24, 27)","(78, 86)"
"(0, 224)","(125, 97)","(74, 172)"
"(18, 118)","(147, 247)","(107, 158)"
"(170, 152)","(185, 139)","(174, 142)"
"(212, 72)","(186, 82)","(195, 73)"
"(192, 48)","(23, 99)","(106, 72)"
"(15, 214)","(252, 107)","(146, 173)"
"(154, 25)","(212, 5)","(186, 18)"
"(250, 36)","(119, 89)","(170, 48)"
"(201, 154)","(31, 18)","(148, 54)"
"(204, 91)","(116, 104)","(156, 93)"
"(135, 219)","(136, 238)","(136, 228)"
"(93, 201)","(51, 92)","(76, 143)"
"(249, 39)","(122, 64)","(181, 47)"
"(72, 196)","(53, 86)","(57, 147)"
"(204, 210)","(110, 226)","(153, 214)"
"(57, 133)","(221, 196)","(136, 167)"
"(114, 111)","(84, 214)","(103, 166)"
"(138, 217)","(88, 6)","(99, 126)"
"(113, 21)","(201, 59)","(154, 43)"
"(135, 236)","(93, 247)","(113, 240)"
"(114, 157)","(159, 59)","(145, 117)"
"(152, 169)","(191, 106)","(170, 136)"
"(227, 237)","(223, 77)","(225, 157)"
"(171, 116)","(91, 44)","(141, 70)"
"(62, 156)","(106, 220)","(93, 179)"
"(90, 113)","(39, 150)","(59, 126)"
"(241, 11)","(177, 212)","(209, 111)"
"(161, 199)","(1, 28)","(76, 119)"
"(168, 206)","(5, 209)","(88, 209)"
"(16, 45)","(149, 116)","(77, 86)"
"(248, 95)","(185, 112)","(216, 103)"
"(83, 95)","(5, 153)","(39, 119)"
"(160, 19)","(244, 207)","(191, 124)"
"(230, 85)","(33, 34)","(142, 49)"
"(19, 199)","(123, 202)","(69, 202)"
"(20, 252)","(147, 91)","(77, 165)"
"(46, 89)","(239, 38)","(137, 58)"
"(109, 101)","(97, 202)","(103, 151)"
"(202, 13)","(33, 151)","(129, 93)"
"(202, 134)","(61, 114)","(127, 129)"
"(79, 147)","(93, 18)","(84, 81)"
"(242, 20)","(141, 229)","(199, 132)"
"(99, 15)","(167, 60)","(135, 35)"
"(15, 57)","(48, 39)","(27, 44)"
"(123, 57)","(68, 41)","(95, 50)"
"(95, 6)","(164, 68)","(131, 35)"
"(181, 51)","(17, 37)","(97, 46)"
"(183, 84)","(133, 143)","(159, 114)"
"(211, 125)","(61, 231)","(142, 184)"
"(62, 242)","(243, 21)","(121, 100)"
"(199, 225)","(170, 63)","(176, 153)"
"(31, 134)","(81, 161)","(63, 140)"
"(245, 207)","(19, 55)","(106, 157)"
"(125, 229)","(63, 253)","(87, 234)"
"(121, 54)","(212, 192)","(189, 100)"
"(110, 12)","(234, 32)","(165, 29)"
"(252, 155)","(185, 222)","(226, 196)"
"(52, 242)","(78, 102)","(73, 180)"
"(207, 122)","(73, 196)","(151, 170)"
"(68, 166)","(15, 234)","(37, 195)"
"(17, 23)","(117, 62)","(68, 41)"
"(208, 182)","(47, 135)","(120, 166)"
"(97, 59)","(51, 174)","(76, 118)"
"(80, 143)","(219, 202)","(147, 175)"
"(130, 97)","(251, 251)","(176, 188)"
"(108, 243)","(93, 147)","(104, 192)"
"(36, 10)","(80, 103)","(49, 65)"
"(128, 111)","(29, 152)","(83, 136)"
"(54, 52)","(112, 26)","(80, 36)"
"(77, 61)","(195, 22)","(146, 52)"
"(54, 250)","(197, 246)","(127, 250)"
"(83, 93)","(122, 95)","(103, 93)"
"(233, 29)","(222, 187)","(228, 108)"
"(69, 115)","(241, 211)","(147, 171)"
"(194, 211)","(142, 104)","(165, 161)"
"(64, 212)","(244, 75)","(117, 107)"
"(178, 109)","(228, 47)","(210, 85)"
"(238, 224)","(70, 127)","(152, 178)"
"(233, 23)","(51, 43)","(147, 38)"
"(121, 64)","(255, 229)","(203, 131)"
"(217, 11)","(228, 86)","(219, 52)"
"(11, 225)","(9, 133)","(9, 180)"
"(242, 108)","(146, 14)","(165, 90)"
"(239, 111)","(86, 33)","(153, 82)"
"(138, 173)","(182, 26)","(147, 87)"
"(200, 215)","(231, 109)","(224, 171)"
"(51, 51)","(204, 255)","(117, 163)"
"(143, 254)","(237, 16)","(199, 144)"
"(232, 119)","(53, 39)","(146, 76)"
"(43, 188)","(139, 238)","(88, 216)"
"(16, 132)","(12, 66)","(16, 97)"
"(69, 29)","(117, 40)","(91, 36)"
"(102, 219)","(57, 67)","(83, 140)"
"(127, 64)","(155, 229)","(133, 154)"
"(75, 237)","(96, 173)","(88, 208)"
"(89, 212)","(9, 159)","(41, 194)"
"(250, 2)","(67, 16)","(166, 16)"
"(170, 206)","(95, 126)","(133, 166)"
"(179, 212)","(184, 167)","(180, 188)"
"(124, 250)","(198, 38)","(156, 139)"
"(181, 203)","(207, 95)","(199, 154)"
"(105, 80)","(179, 77)","(143, 80)"
"(49, 6)","(54, 93)","(52, 49)"
"(116, 177)","(225, 154)","(175, 170)"
"(211, 117)","(154, 41)","(166, 96)"
"(239, 254)","(196, 28)","(220, 139)"
"(32, 171)","(133, 95)","(83, 134)"
"(199, 179)","(38, 9)","(152, 61)"
"(164, 163)","(45, 3)","(96, 92)"
"(205, 236)","(186, 227)","(200, 227)"
"(240, 37)","(85, 141)","(150, 76)"
"(135, 94)","(60, 150)","(98, 122)"
"(27, 9)","(75, 180)","(52, 93)"
"(128, 87)","(178, 88)","(152, 88)"
"(192, 32)","(66, 239)","(111, 117)"
"(3, 150)","(47, 122)","(28, 139)"
"(129, 204)","(171, 170)","(145, 182)"
"(204, 62)","(9, 206)","(97, 124)"
"(221, 81)","(197, 42)","(216, 55)"
"(162, 229)","(203, 150)","(172, 179)"
"(65, 11)","(223, 163)","(153, 78)"
"(138, 110)","(207, 124)","(169, 120)"
"(92, 238)","(148, 20)","(109, 118)"
"(240, 34)","(62, 213)","(123, 95)"
"(102, 141)","(26, 98)","(71, 113)"
"(82, 158)","(57, 134)","(72, 144)"
"(222, 189)","(8, 72)","(100, 146)"
"(116, 117)","(208, 179)","(146, 164)"
"(12, 145)","(167, 183)","(100, 153)"
"(233, 194)","(141, 138)","(176, 177)"
"(72, 79)","(36, 136)","(46, 99)"
"(35, 42)","(57, 42)","(46, 42)"
"(131, 190)","(39, 168)","(86, 178)"
"(27, 31)","(151, 84)","(95, 51)"
"(83, 85)","(4, 200)","(53, 152)"
"(254, 186)","(248, 179)","(251, 183)"
"(92, 41)","(175, 105)","(149, 57)"
"(163, 88)","(72, 99)","(120, 96)"
"(181, 99)","(131, 225)","(163, 169)"
"(179, 1)","(157, 253)","(165, 124)"
"(213, 30)","(13, 61)","(114, 46)"
"(158, 237)","(72, 42)","(103, 152)"
"(255, 105)","(175, 238)","(219, 175)"
"(170, 206)","(112, 75)","(137, 145)"
"(73, 233)","(204, 187)","(145, 217)"
"(91, 232)","(23, 245)","(61, 242)"
"(119, 30)","(238, 6)","(177, 17)"
"(117, 137)","(99, 65)","(110, 99)"
"(58, 233)","(195, 51)","(100, 116)"
"(206, 127)","(51, 152)","(125, 136)"
"(121, 81)","(194, 18)","(156, 48)"
"(11, 145)","(148, 95)","(63, 104)"
"(200, 132)","(216, 251)","(207, 192)"
"(157, 209)","(192, 7)","(161, 95)"
"(168, 104)","(253, 177)","(217, 134)"
"(153, 107)","(95, 237)","(124, 172)"
"(213, 236)","(100, 199)","(167, 207)"
"(241, 214)","(222, 251)","(241, 242)"
"(13, 200)","(21, 233)","(19, 214)"
"(20, 3)","(45, 1)","(31, 1)"
"(12, 244)","(10, 169)","(10, 208)"
"(167, 191)","(75, 104)","(109, 160)"
"(85, 143)","(25, 139)","(54, 142)"
"(143, 134)","(29, 140)","(86, 137)"
"(115, 137)","(253, 55)","(202, 114)"
"(99, 21)","(77, 68)","(80, 36)"
"(14, 189)","(96, 52)","(32, 98)"
"(58, 206)","(140, 27)","(99, 117)"
"(88, 79)","(145, 149)","(121, 109)"
"(195, 150)","(168, 210)","(174, 172)"
"(225, 105)","(92, 46)","(153, 81)"
"(52, 14)","(166, 228)","(108, 122)"
"(147, 108)","(229, 28)","(172, 52)"
"(97, 51)","(224, 88)","(150, 80)"
"(160, 173)","(25, 233)","(99, 209)"
"(120, 79)","(248, 243)","(212, 133)"
"(72, 236)","(211, 54)","(111, 115)"
"(240, 52)","(126, 110)","(186, 84)"
"(103, 132)","(202, 56)","(142, 84)"
"(19, 153)","(18, 141)","(18, 148)"
"(221, 203)","(92, 87)","(135, 167)"
"(248, 30)","(236, 37)","(241, 32)"
"(175, 172)","(86, 255)","(137, 220)"
"(188, 120)","(132, 47)","(160, 84)"
"(165, 110)","(124, 161)","(135, 126)"
"(35, 154)","(138, 148)","(89, 154)"
"(156, 34)","(72, 117)","(110, 71)"
"(97, 231)","(118, 178)","(106, 203)"
"(132, 93)","(46, 16)","(80, 64)"
"(245, 47)","(60, 191)","(128, 94)"
"(252, 191)","(69, 143)","(151, 177)"
"(10, 81)","(27, 249)","(26, 157)"
"(253, 45)","(161, 118)","(216, 90)"
"(236, 206)","(249, 168)","(241, 186)"
"(197, 172)","(136, 89)","(189, 108)"
"(240, 75)","(83, 42)","(172, 48)"
"(199, 228)","(132, 10)","(167, 118)"
"(237, 28)","(203, 253)","(227, 147)"
"(94, 14)","(145, 229)","(122, 119)"
"(241, 218)","(27, 171)","(126, 203)"
"(12, 4)","(141, 59)","(84, 24)"
"(104, 106)","(81, 144)","(95, 127)"
"(61, 95)","(31, 229)","(34, 150)"
"(125, 198)","(203, 76)","(173, 146)"
"(206, 131)","(126, 20)","(159, 83)"
"(194, 94)","(72, 176)","(111, 113)"
"(93, 29)","(192, 149)","(153, 78)"
"(235, 118)","(221, 39)","(232, 75)"
"(97, 157)","(197, 83)","(123, 96)"
"(171, 68)","(238, 158)","(192, 125)"
"(99, 27)","(13, 228)","(39, 110)"
"(65, 160)","(145, 100)","(98, 123)"
"(48, 112)","(200, 107)","(121, 107)"
"(253, 238)","(72, 252)","(170, 253)"
"(185, 45)","(15, 208)","(98, 124)"
"(96, 178)","(112, 3)","(109, 96)"
"(90, 34)","(204, 234)","(117, 164)"
"(120, 36)","(77, 172)","(86, 91)"
"(182, 2)","(188, 169)","(183, 87)"
"(90, 189)","(221, 155)","(153, 170)"
"(211, 87)","(26, 47)","(102, 84)"
"(11, 3)","(17, 119)","(14, 61)"
"(98, 232)","(224, 10)","(129, 89)"
"(157, 87)","(6, 234)","(77, 156)"
"(76, 214)","(210, 15)","(123, 95)"
"(251, 135)","(248, 96)","(249, 116)"
"(140, 71)","(123, 155)","(128, 109)"
"(194, 163)","(182, 209)","(183, 181)"
"(139, 138)","(63, 42)","(99, 92)"
"(186, 210)","(29, 114)","(110, 160)"
"(52, 137)","(17, 41)","(38, 86)"
"(20, 132)","(184, 52)","(94, 84)"
"(219, 155)","(45, 118)","(133, 136)"
"(69, 111)","(48, 160)","(58, 135)"
"(67, 165)","(93, 124)","(75, 140)"
"(135, 12)","(75, 255)","(106, 134)"
"(118, 206)","(71, 17)","(82, 124)"
"(143, 105)","(104, 44)","(114, 84)"
"(136, 166)","(237, 183)","(179, 182)"
"(157, 118)","(158, 36)","(158, 78)"
"(121, 150)","(12, 215)","(65, 181)"
"(5, 229)","(179, 207)","(89, 215)"
"(169, 193)","(246, 140)","(201, 160)"
"(189, 82)","(184, 129)","(189, 108)"
"(146, 210)","(151, 171)","(151, 193)"
"(34, 73)","(53, 240)","(36, 164)"
"(230, 166)","(253, 231)","(237, 203)"
"(202, 187)","(13, 32)","(88, 129)"
"(86, 154)","(205, 215)","(151, 179)"
"(216, 166)","(29, 111)","(126, 135)"
"(84, 177)","(69, 117)","(76, 148)"
"(77, 199)","(106, 148)","(99, 181)"
"(143, 253)","(143, 255)","(143, 254)"
"(211, 233)","(23, 172)","(117, 203)"
"(254, 225)","(191, 60)","(227, 138)"
"(152, 11)","(5, 209)","(96, 127)"
"(206, 73)","(99, 219)","(164, 157)"
"(112, 87)","(19, 248)","(74, 176)"
"(137, 223)","(94, 91)","(110, 163)"
"(45, 161)","(22, 163)","(34, 162)"
"(98, 121)","(140, 11)","(121, 68)"
"(210, 146)","(177, 172)","(200, 165)"
"(42, 76)","(21, 192)","(30, 132)"
"(130, 152)","(226, 152)","(178, 154)"
"(49, 56)","(191, 13)","(109, 24)"
"(38, 120)","(211, 51)","(129, 90)"
"(253, 211)","(136, 147)","(180, 194)"
"(29, 155)","(207, 100)","(105, 114)"
"(234, 93)","(230, 97)","(233, 96)"
"(147, 110)","(38, 130)","(97, 124)"
"(252, 82)","(248, 53)","(249, 69)"
"(253, 242)","(16, 203)","(151, 206)"
"(126, 194)","(64, 170)","(86, 191)"
"(206, 115)","(45, 85)","(130, 96)"
"(157, 1)","(2, 83)","(97, 59)"
"(125, 182)","(83, 165)","(101, 177)"
"(141, 26)","(1, 215)","(83, 132)"
"(40, 27)","(201, 232)","(103, 147)"
"(108, 239)","(1, 231)","(56, 234)"
"(48, 189)","(113, 210)","(78, 202)"
"(38, 145)","(98, 205)","(77, 166)"
"(210, 30)","(187, 80)","(197, 53)"
"(47, 49)","(230, 74)","(135, 65)"
"(153, 5)","(69, 154)","(114, 82)"
"(69, 57)","(165, 228)","(109, 150)"
"(138, 111)","(32, 76)","(87, 92)"
"(148, 136)","(247, 191)","(179, 182)"
"(91, 139)","(219, 221)","(156, 179)"
"(79, 113)","(165, 93)","(115, 96)"
"(249, 216)","(110, 17)","(189, 107)"
"(145, 151)","(106, 16)","(140, 69)"
"(121, 19)","(73, 200)","(82, 94)"
"(143, 37)","(66, 49)","(108, 46)"
"(98, 48)","(144, 237)","(108, 155)"
"(208, 161)","(203, 28)","(208, 92)"
"(204, 54)","(212, 18)","(211, 39)"
"(113, 192)","(219, 13)","(147, 84)"
"(6, 104)","(57, 87)","(29, 93)"
"(19, 180)","(207, 206)","(102, 204)"
"(1, 105)","(172, 224)","(98, 153)"
"(206, 241)","(66, 233)","(137, 236)"
"(115, 141)","(31, 77)","(70, 112)"
"(37, 132)","(7, 127)","(22, 130)"
"(168, 114)","(133, 23)","(151, 68)"
"(250, 65)","(107, 250)","(187, 166)"
"(228, 74)","(68, 200)","(118, 107)"
"(143, 186)","(227, 115)","(180, 146)"
"(250, 185)","(22, 168)","(136, 177)"
"(168, 165)","(187, 71)","(179, 120)"
"(5, 167)","(186, 179)","(91, 177)"
"(113, 68)","(134, 182)","(122, 126)"
"(9, 129)","(11, 36)","(10, 83)"
"(91, 226)","(56, 145)","(75, 184)"
"(53, 137)","(108, 179)","(86, 152)"
"(107, 151)","(17, 170)","(56, 154)"
"(30, 169)","(94, 152)","(55, 154)"
"(44, 22)","(24, 80)","(41, 58)"
"(204, 156)","(148, 142)","(172, 153)"
"(228, 8)","(72, 194)","(135, 86)"
"(139, 182)","(112, 98)","(119, 147)"
"(66, 238)","(4, 152)","(32, 198)"
"(254, 170)","(152, 175)","(201, 170)"
"(77, 7)","(195, 171)","(153, 72)"
"(207, 15)","(231, 125)","(221, 68)"
"(228, 245)","(25, 63)","(117, 164)"
"(68, 138)","(141, 157)","(108, 144)"
"(138, 103)","(207, 55)","(163, 70)"
"(90, 126)","(201, 165)","(150, 141)"
"(85, 107)","(97, 33)","(94, 73)"
"(49, 204)","(204, 2)","(121, 98)"
"(162, 145)","(192, 78)","(181, 116)"
"(58, 109)","(59, 68)","(59, 89)"
"(135, 173)","(1, 8)","(57, 102)"
"(227, 168)","(81, 126)","(134, 167)"
"(118, 215)","(70, 128)","(98, 168)"
"(68, 220)","(102, 24)","(77, 114)"
"(200, 142)","(13, 76)","(118, 98)"
"(81, 120)","(167, 148)","(123, 135)"
"(124, 70)","(180, 185)","(162, 117)"
"(103, 58)","(206, 229)","(137, 161)"
"(167, 195)","(255, 93)","(212, 145)"
"(61, 187)","(80, 176)","(69, 180)"
"(240, 35)","(144, 198)","(200, 124)"
"(8, 23)","(33, 95)","(19, 60)"
"(252, 163)","(78, 111)","(182, 120)"
"(136, 76)","(35, 65)","(87, 69)"
"(16, 89)","(155, 98)","(87, 92)"
"(2, 117)","(151, 2)","(100, 83)"
"(57, 58)","(59, 28)","(57, 42)"
"(134, 115)","(97, 56)","(108, 93)"
"(150, 50)","(244, 89)","(183, 83)"
"(89, 10)","(146, 219)","(122, 110)"
"(146, 22)","(141, 203)","(145, 113)"
"(162, 163)","(21, 47)","(103, 94)"
"(168, 161)","(151, 26)","(157, 96)"
"(224, 83)","(165, 31)","(180, 72)"
"(35, 37)","(95, 147)","(58, 99)"
"(94, 125)","(99, 175)","(94, 152)"
"(32, 140)","(78, 124)","(51, 128)"
"(47, 118)","(36, 105)","(38, 115)"
"(193, 119)","(245, 39)","(223, 83)"
"(221, 156)","(38, 40)","(129, 99)"
"(162, 108)","(139, 196)","(155, 156)"
"(134, 152)","(180, 54)","(148, 94)"
"(34, 183)","(95, 236)","(72, 202)"
"(157, 119)","(55, 16)","(87, 87)"
"(117, 24)","(123, 27)","(121, 24)"
"(185, 201)","(156, 153)","(167, 181)"
"(36, 195)","(209, 61)","(108, 114)"
"(202, 72)","(89, 4)","(139, 45)"
"(128, 214)","(152, 241)","(141, 226)"
"(10, 19)","(165, 154)","(83, 91)"
"(219, 238)","(167, 54)","(199, 140)"
"(76, 167)","(193, 216)","(123, 203)"
"(203, 53)","(65, 149)","(128, 95)"
"(146, 44)","(246, 168)","(189, 113)"
"(199, 6)","(22, 140)","(110, 72)"
"(82, 68)","(5, 141)","(34, 95)"
"(225, 255)","(3, 18)","(103, 148)"
"(117, 81)","(70, 41)","(96, 59)"
"(218, 18)","(244, 189)","(223, 111)"
"(249, 125)","(213, 195)","(226, 155)"
"(96, 101)","(27, 128)","(54, 107)"
"(233, 142)","(37, 67)","(141, 99)"
"(161, 22)","(35, 42)","(90, 24)"
"(19, 80)","(236, 58)","(138, 83)"
"(217, 87)","(205, 155)","(209, 119)"
"(129, 226)","(216, 37)","(171, 130)"
"(241, 152)","(31, 145)","(133, 154)"
